0 NONE Person_or_Vehicle NONE:0.000412502845998 Person_or_Vehicle:0.604162232496 Other:0.0398129311798 Building_or_Public_Space:0.266852437698 Road_or_Driveway:0.0746790061996 Traffic_Signal:0.0140808895799
494 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.759142730391 Other:0.000341184335487 Building_or_Public_Space:0.237715102366 Road_or_Driveway:0.00196681189447 Traffic_Signal:0.000834171012203
495 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.928869099674 Other:0.00143178026878 Building_or_Public_Space:0.0695858788705 Road_or_Driveway:0.000113241186259 Traffic_Signal:0.0
496 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.94827930902 Other:0.00102821633009 Building_or_Public_Space:0.0495844828122 Road_or_Driveway:0.00110799183782 Traffic_Signal:0.0
497 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.422041050719 Other:0.00790701217326 Building_or_Public_Space:0.553745636586 Road_or_Driveway:0.0163063005219 Traffic_Signal:0.0
498 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.198373423197 Other:0.00262024935597 Building_or_Public_Space:0.783129786204 Road_or_Driveway:0.0153843444468 Traffic_Signal:0.000492196795246
499 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.336730181231 Other:0.00142917671327 Building_or_Public_Space:0.572696427201 Road_or_Driveway:0.0879369043834 Traffic_Signal:0.00120731047111
500 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.522171356708 Other:0.0128700390715 Building_or_Public_Space:0.321592514832 Road_or_Driveway:0.140560674411 Traffic_Signal:0.00280541497846
501 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.625516044027 Other:0.0220659015408 Building_or_Public_Space:0.312397541084 Road_or_Driveway:0.0400205133475 Traffic_Signal:0.0
502 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.70229055781 Other:0.0198982777957 Building_or_Public_Space:0.242275469813 Road_or_Driveway:0.0355356945806 Traffic_Signal:0.0
503 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.844264604115 Other:0.00604468273825 Building_or_Public_Space:0.110286727633 Road_or_Driveway:0.0394039855132 Traffic_Signal:0.0
504 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.78912885659 Other:0.00825063392553 Building_or_Public_Space:0.183005344621 Road_or_Driveway:0.0196151648641 Traffic_Signal:0.0
505 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.921373772851 Other:0.00240887889018 Building_or_Public_Space:0.0611037818178 Road_or_Driveway:0.015113566441 Traffic_Signal:0.0
506 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.81753400072 Other:0.00543943490173 Building_or_Public_Space:0.135438600508 Road_or_Driveway:0.0415879638702 Traffic_Signal:0.0
507 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.723301609591 Other:0.00407596800501 Building_or_Public_Space:0.213602827941 Road_or_Driveway:0.0590195944621 Traffic_Signal:0.0
508 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.791935304209 Other:0.00607430982781 Building_or_Public_Space:0.193803768955 Road_or_Driveway:0.00818661700797 Traffic_Signal:0.0
509 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.839358995522 Other:0.0100073237549 Building_or_Public_Space:0.136379754382 Road_or_Driveway:0.0142539263417 Traffic_Signal:0.0
510 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.794085081327 Other:0.00304773183116 Building_or_Public_Space:0.169679785911 Road_or_Driveway:0.0331874009307 Traffic_Signal:0.0
511 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.614518395277 Other:0.0217174782313 Building_or_Public_Space:0.191504429156 Road_or_Driveway:0.172259697336 Traffic_Signal:0.0
512 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.889813786078 Other:0.00273167239854 Building_or_Public_Space:0.0855952189178 Road_or_Driveway:0.0218593226058 Traffic_Signal:0.0
513 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.870308844226 Other:0.00291945052643 Building_or_Public_Space:0.114458792758 Road_or_Driveway:0.0123129124895 Traffic_Signal:0.0
514 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.612839080112 Other:0.00309812196829 Building_or_Public_Space:0.230570367674 Road_or_Driveway:0.153492430246 Traffic_Signal:0.0
515 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.492872360102 Other:0.0123544033939 Building_or_Public_Space:0.399241424088 Road_or_Driveway:0.0955318124155 Traffic_Signal:0.0
516 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.503773145905 Other:0.0109270571946 Building_or_Public_Space:0.381194988899 Road_or_Driveway:0.104104808002 Traffic_Signal:0.0
517 Road_or_Driveway Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.199473725837 Other:0.0257792470485 Building_or_Public_Space:0.466371383361 Road_or_Driveway:0.308375643754 Traffic_Signal:0.0
518 Road_or_Driveway Road_or_Driveway NONE:0.0 Person_or_Vehicle:0.0723337010479 Other:0.00675370055403 Building_or_Public_Space:0.443818948566 Road_or_Driveway:0.465314260161 Traffic_Signal:0.0117793896711
519 Road_or_Driveway Road_or_Driveway NONE:0.0 Person_or_Vehicle:0.222221469014 Other:0.0107987250465 Building_or_Public_Space:0.348848781753 Road_or_Driveway:0.413669056504 Traffic_Signal:0.00446196768307
520 Road_or_Driveway Road_or_Driveway NONE:0.0 Person_or_Vehicle:0.09597347657 Other:0.0233397535449 Building_or_Public_Space:0.287068247606 Road_or_Driveway:0.536549910084 Traffic_Signal:0.057068612195
521 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.358356260832 Other:0.0229680643093 Building_or_Public_Space:0.290405877665 Road_or_Driveway:0.320365379764 Traffic_Signal:0.0079044174296
522 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.778475106535 Other:0.0224583624654 Building_or_Public_Space:0.191057028831 Road_or_Driveway:0.00800950216807 Traffic_Signal:0.0
523 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.548141062888 Other:0.00571477210667 Building_or_Public_Space:0.257394676805 Road_or_Driveway:0.1887494882 Traffic_Signal:0.0
524 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.731581393042 Other:0.00264782753403 Building_or_Public_Space:0.249994389504 Road_or_Driveway:0.0157763899193 Traffic_Signal:0.0
525 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.710354837991 Other:0.0025316040001 Building_or_Public_Space:0.232269559182 Road_or_Driveway:0.0548439988276 Traffic_Signal:0.0
526 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.562912423151 Other:0.00628284735304 Building_or_Public_Space:0.251220504767 Road_or_Driveway:0.17958422473 Traffic_Signal:0.0
527 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.670821930756 Other:0.0100719612576 Building_or_Public_Space:0.285508461617 Road_or_Driveway:0.03359764637 Traffic_Signal:0.0
528 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.556549418251 Other:0.0120671344786 Building_or_Public_Space:0.399499477258 Road_or_Driveway:0.0318839700128 Traffic_Signal:0.0
529 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.697160720519 Other:0.0036024894947 Building_or_Public_Space:0.265996082832 Road_or_Driveway:0.0332407071539 Traffic_Signal:0.0
530 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.622106045283 Other:0.00740412380049 Building_or_Public_Space:0.262358948399 Road_or_Driveway:0.108130882518 Traffic_Signal:0.0
531 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.778348786012 Other:0.00473422404095 Building_or_Public_Space:0.169040305662 Road_or_Driveway:0.0478766842856 Traffic_Signal:0.0
532 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.765504017199 Other:0.0104495035051 Building_or_Public_Space:0.212685643412 Road_or_Driveway:0.0113608358837 Traffic_Signal:0.0
533 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.857115094868 Other:0.00747122395488 Building_or_Public_Space:0.117957088262 Road_or_Driveway:0.0174565929157 Traffic_Signal:0.0
534 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.882229993896 Other:0.0122895529126 Building_or_Public_Space:0.0884140447693 Road_or_Driveway:0.0170664084217 Traffic_Signal:0.0
535 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.947263360445 Other:0.0044818970524 Building_or_Public_Space:0.0400592964977 Road_or_Driveway:0.00819544600481 Traffic_Signal:0.0
536 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.782200215845 Other:0.00388941346462 Building_or_Public_Space:0.197735532119 Road_or_Driveway:0.0161748385706 Traffic_Signal:0.0
537 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.819681641818 Other:0.00760820963597 Building_or_Public_Space:0.150986467815 Road_or_Driveway:0.021723680731 Traffic_Signal:0.0
538 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.787134435358 Other:0.00973025999017 Building_or_Public_Space:0.189896414672 Road_or_Driveway:0.0132388899791 Traffic_Signal:0.0
539 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.906443568331 Other:0.00689056533461 Building_or_Public_Space:0.0758567723604 Road_or_Driveway:0.010809093974 Traffic_Signal:0.0
540 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.93523890069 Other:0.00140548627361 Building_or_Public_Space:0.0600881284659 Road_or_Driveway:0.00326748457068 Traffic_Signal:0.0
541 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.543095850062 Other:0.0196022177584 Building_or_Public_Space:0.424128493815 Road_or_Driveway:0.0131734383655 Traffic_Signal:0.0
542 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.70721073559 Other:0.00112594228441 Building_or_Public_Space:0.281366798752 Road_or_Driveway:0.0102965233737 Traffic_Signal:0.0
543 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.333467714739 Other:0.00343688648345 Building_or_Public_Space:0.65895264887 Road_or_Driveway:0.00414274990709 Traffic_Signal:0.0
544 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.900060339765 Other:0.000139156077486 Building_or_Public_Space:0.0985894534035 Road_or_Driveway:0.00106713860546 Traffic_Signal:0.000143912148533
545 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.862958458441 Other:0.00161929227021 Building_or_Public_Space:0.13224376605 Road_or_Driveway:0.0031784832383 Traffic_Signal:0.0
546 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.707615938185 Other:0.00535658264876 Building_or_Public_Space:0.23472515206 Road_or_Driveway:0.0523023271062 Traffic_Signal:0.0
547 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.721143389806 Other:0.0032454329941 Building_or_Public_Space:0.184223632202 Road_or_Driveway:0.0913875449978 Traffic_Signal:0.0
548 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.746391162942 Other:0.00386347351963 Building_or_Public_Space:0.180070044315 Road_or_Driveway:0.0696753192236 Traffic_Signal:0.0
549 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.808806781452 Other:0.00395161546457 Building_or_Public_Space:0.153894211768 Road_or_Driveway:0.0333473913154 Traffic_Signal:0.0
550 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.535787481247 Other:0.00918737783735 Building_or_Public_Space:0.417687648343 Road_or_Driveway:0.037337492572 Traffic_Signal:0.0
551 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.285541682853 Other:0.0454853495723 Building_or_Public_Space:0.640979465392 Road_or_Driveway:0.0279935021831 Traffic_Signal:0.0
552 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.502968341392 Other:0.0145791823697 Building_or_Public_Space:0.421139638998 Road_or_Driveway:0.0509253022098 Traffic_Signal:0.0103875350308
553 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.39633777268 Other:0.00624673716987 Building_or_Public_Space:0.553956474211 Road_or_Driveway:0.0434590159391 Traffic_Signal:0.0
554 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.522890737347 Other:0.00154789130826 Building_or_Public_Space:0.391824954814 Road_or_Driveway:0.0828801916928 Traffic_Signal:0.000856224837871
555 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.75548145276 Other:0.00680378883044 Building_or_Public_Space:0.204906589538 Road_or_Driveway:0.0328081688711 Traffic_Signal:0.0
556 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.488585462186 Other:0.0281924661441 Building_or_Public_Space:0.337870764052 Road_or_Driveway:0.145351307618 Traffic_Signal:0.0
557 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.913866028591 Other:0.0112889960221 Building_or_Public_Space:0.065887312261 Road_or_Driveway:0.00895766312594 Traffic_Signal:0.0
558 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.763378134596 Other:0.0400359096254 Building_or_Public_Space:0.178525510386 Road_or_Driveway:0.0180604453922 Traffic_Signal:0.0
559 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.901134227014 Other:0.00475640312684 Building_or_Public_Space:0.0785398497118 Road_or_Driveway:0.0155695201479 Traffic_Signal:0.0
560 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.748369232992 Other:0.0128275291799 Building_or_Public_Space:0.218277020823 Road_or_Driveway:0.0205262170044 Traffic_Signal:0.0
561 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.918175228986 Other:0.00161327481198 Building_or_Public_Space:0.0742713685387 Road_or_Driveway:0.00594012766286 Traffic_Signal:0.0
562 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.924768194563 Other:0.00261593362829 Building_or_Public_Space:0.0658147024181 Road_or_Driveway:0.00680116939098 Traffic_Signal:0.0
563 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.799589518735 Other:0.00612914666548 Building_or_Public_Space:0.168100643217 Road_or_Driveway:0.0261806913819 Traffic_Signal:0.0
564 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.70721073559 Other:0.00112594228441 Building_or_Public_Space:0.281366798752 Road_or_Driveway:0.0102965233737 Traffic_Signal:0.0
565 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.333467714739 Other:0.00343688648345 Building_or_Public_Space:0.65895264887 Road_or_Driveway:0.00414274990709 Traffic_Signal:0.0
566 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.900060339765 Other:0.000139156077486 Building_or_Public_Space:0.0985894534035 Road_or_Driveway:0.00106713860546 Traffic_Signal:0.000143912148533
567 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.934175644235 Other:0.000609144233277 Building_or_Public_Space:0.0640693558311 Road_or_Driveway:0.00114585570016 Traffic_Signal:0.0
568 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.281356921971 Other:0.0342814508586 Building_or_Public_Space:0.613996725878 Road_or_Driveway:0.0703649012922 Traffic_Signal:0.0
569 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.639573796326 Other:0.00744812074958 Building_or_Public_Space:0.229779322761 Road_or_Driveway:0.120192964123 Traffic_Signal:0.0030057960411
570 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.798274561011 Other:0.00365463581238 Building_or_Public_Space:0.187848931452 Road_or_Driveway:0.0102218717247 Traffic_Signal:0.0
571 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.899059698421 Other:0.00147831632443 Building_or_Public_Space:0.094248178086 Road_or_Driveway:0.0052138071684 Traffic_Signal:0.0
572 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.488721885377 Other:0.00588524092459 Building_or_Public_Space:0.473031141892 Road_or_Driveway:0.0323617318063 Traffic_Signal:0.0
573 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.480296425423 Other:0.0119533575725 Building_or_Public_Space:0.483954635209 Road_or_Driveway:0.0237955817946 Traffic_Signal:0.0
574 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.73638334365 Other:0.00484988333879 Building_or_Public_Space:0.231404488992 Road_or_Driveway:0.0255252287259 Traffic_Signal:0.00183705529401
575 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.860658904781 Other:0.00232160792668 Building_or_Public_Space:0.133006960905 Road_or_Driveway:0.00401252638775 Traffic_Signal:0.0
576 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.955528370607 Other:0.000496370989026 Building_or_Public_Space:0.0432183200587 Road_or_Driveway:0.000756938345526 Traffic_Signal:0.0
577 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.928727770804 Other:0.000629931960001 Building_or_Public_Space:0.0684690446376 Road_or_Driveway:0.00217325259805 Traffic_Signal:0.0
578 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.849046959365 Other:0.00568849160545 Building_or_Public_Space:0.125634875636 Road_or_Driveway:0.0196296733935 Traffic_Signal:0.0
579 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.491481874117 Other:0.00399281456451 Building_or_Public_Space:0.481316082192 Road_or_Driveway:0.0232092291266 Traffic_Signal:0.0
580 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.697807450127 Other:0.00865848220568 Building_or_Public_Space:0.208077545469 Road_or_Driveway:0.0854565221981 Traffic_Signal:0.0
581 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.692923507112 Other:0.00480446674181 Building_or_Public_Space:0.235508422632 Road_or_Driveway:0.066763603514 Traffic_Signal:0.0
582 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.867045551309 Other:0.0015472190542 Building_or_Public_Space:0.109955189884 Road_or_Driveway:0.0214520397528 Traffic_Signal:0.0
583 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.36760781039 Other:0.0065800441868 Building_or_Public_Space:0.562684096329 Road_or_Driveway:0.063128049094 Traffic_Signal:0.0
584 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.60788751148 Other:0.00467611066571 Building_or_Public_Space:0.255990681539 Road_or_Driveway:0.130216439408 Traffic_Signal:0.00122925690717
585 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.686607294396 Other:0.00944856720073 Building_or_Public_Space:0.274618593274 Road_or_Driveway:0.0293255451292 Traffic_Signal:0.0
586 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.588402382375 Other:0.0195807387367 Building_or_Public_Space:0.291250533871 Road_or_Driveway:0.100766345017 Traffic_Signal:0.0
587 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.670265156178 Other:0.00945734629543 Building_or_Public_Space:0.282260012547 Road_or_Driveway:0.0380174849791 Traffic_Signal:0.0
588 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.766850580598 Other:0.00275058984936 Building_or_Public_Space:0.188573937583 Road_or_Driveway:0.0418248919696 Traffic_Signal:0.0
589 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.52084027228 Other:0.00212520697947 Building_or_Public_Space:0.44567572034 Road_or_Driveway:0.0313588004011 Traffic_Signal:0.0
590 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.902831523752 Other:0.00569287540233 Building_or_Public_Space:0.0802123936042 Road_or_Driveway:0.0112632072416 Traffic_Signal:0.0
591 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.826268188579 Other:0.0112006481454 Building_or_Public_Space:0.106962006663 Road_or_Driveway:0.0555691566127 Traffic_Signal:0.0
592 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.689192549454 Other:0.00163522340951 Building_or_Public_Space:0.296134935566 Road_or_Driveway:0.0130372915708 Traffic_Signal:0.0
593 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.364141071427 Other:0.00464105390211 Building_or_Public_Space:0.618146033816 Road_or_Driveway:0.013071840855 Traffic_Signal:0.0
594 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.0854914377251 Other:0.00190924843901 Building_or_Public_Space:0.866631597423 Road_or_Driveway:0.0447022198342 Traffic_Signal:0.00126549657859
595 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.467686772852 Other:0.00127917864495 Building_or_Public_Space:0.522654912108 Road_or_Driveway:0.00769700558383 Traffic_Signal:0.000682130810704
596 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.829522155665 Other:0.000589890433914 Building_or_Public_Space:0.168227555975 Road_or_Driveway:0.00113327617582 Traffic_Signal:0.000527121750565
597 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.442304853963 Other:0.00578422194757 Building_or_Public_Space:0.529623607405 Road_or_Driveway:0.0222873166843 Traffic_Signal:0.0
598 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.318471465752 Other:0.0026694576422 Building_or_Public_Space:0.562886161356 Road_or_Driveway:0.113210236322 Traffic_Signal:0.00276267892787
599 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.73682637695 Other:0.0053243588367 Building_or_Public_Space:0.192896723824 Road_or_Driveway:0.0628012380145 Traffic_Signal:0.002151302375
600 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.687136998884 Other:0.00894845065873 Building_or_Public_Space:0.265320548352 Road_or_Driveway:0.0385940021055 Traffic_Signal:0.0
601 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.977302976471 Other:0.000225935356746 Building_or_Public_Space:0.0220156077771 Road_or_Driveway:0.000455480395067 Traffic_Signal:0.0
602 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.818166374267 Other:0.00353070660119 Building_or_Public_Space:0.165584643386 Road_or_Driveway:0.0127182757456 Traffic_Signal:0.0
603 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.705099979529 Other:0.00675737205743 Building_or_Public_Space:0.272666239346 Road_or_Driveway:0.0154764090675 Traffic_Signal:0.0
604 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.682174702966 Other:0.00547178756192 Building_or_Public_Space:0.298818169925 Road_or_Driveway:0.0135353395469 Traffic_Signal:0.0
605 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.740040153645 Other:0.0150068393199 Building_or_Public_Space:0.232880026321 Road_or_Driveway:0.0120729807138 Traffic_Signal:0.0
606 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.692991090096 Other:0.00821311032118 Building_or_Public_Space:0.271446496639 Road_or_Driveway:0.027349302944 Traffic_Signal:0.0
607 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.899960418246 Other:0.00590449060594 Building_or_Public_Space:0.0902272846595 Road_or_Driveway:0.0039078064888 Traffic_Signal:0.0
608 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.601090089512 Other:0.00577073408688 Building_or_Public_Space:0.258880422734 Road_or_Driveway:0.134258753667 Traffic_Signal:0.0
609 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.619873305861 Other:0.00425837016181 Building_or_Public_Space:0.274961531774 Road_or_Driveway:0.100906792203 Traffic_Signal:0.0
610 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.612209699589 Other:0.00866606434116 Building_or_Public_Space:0.289511102919 Road_or_Driveway:0.0896131331502 Traffic_Signal:0.0
611 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.776974018377 Other:0.00455026209277 Building_or_Public_Space:0.186384041247 Road_or_Driveway:0.0320916782836 Traffic_Signal:0.0
612 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.867045551309 Other:0.0015472190542 Building_or_Public_Space:0.109955189884 Road_or_Driveway:0.0214520397528 Traffic_Signal:0.0
613 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.456233345993 Other:0.00657358737683 Building_or_Public_Space:0.511437121279 Road_or_Driveway:0.0257559453508 Traffic_Signal:0.0
614 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.160417461141 Other:0.00327242366272 Building_or_Public_Space:0.588934939038 Road_or_Driveway:0.246522582958 Traffic_Signal:0.000852593199664
615 Road_or_Driveway Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.234085383567 Other:0.00287653707585 Building_or_Public_Space:0.486945884572 Road_or_Driveway:0.274928447957 Traffic_Signal:0.00116374682852
616 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.81530251689 Other:0.00366691765923 Building_or_Public_Space:0.170097558302 Road_or_Driveway:0.010587668787 Traffic_Signal:0.00034533836096
617 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.669981406959 Other:0.00702022140293 Building_or_Public_Space:0.288464708096 Road_or_Driveway:0.0345336635422 Traffic_Signal:0.0
618 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.733861183722 Other:0.0114934447231 Building_or_Public_Space:0.237426809958 Road_or_Driveway:0.0172185615964 Traffic_Signal:0.0
619 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.920103743748 Other:0.00664976481343 Building_or_Public_Space:0.0641379719383 Road_or_Driveway:0.00910851950074 Traffic_Signal:0.0
620 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.860658904781 Other:0.00232160792668 Building_or_Public_Space:0.133006960905 Road_or_Driveway:0.00401252638775 Traffic_Signal:0.0
621 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.955528370607 Other:0.000496370989026 Building_or_Public_Space:0.0432183200587 Road_or_Driveway:0.000756938345526 Traffic_Signal:0.0
